CK109_1216_681_rapa_PDH_009 - Registered_003,Distance_(microns),Green,Red,Farred
,0,106.618,104.5,108.861
,0.04547,105.69,102.568,112.221
,0.09095,102.312,102.435,109.78
,0.13643,102.329,105.678,107.241
,0.1819,102.547,105.33,109.396
,0.22738,106.012,107.214,110.679
,0.27285,106.393,105.355,112.825
,0.31833,106.003,111.985,117.154
,0.3638,104.949,127.219,127.985
,0.40927,110.671,147.899,153.349
,0.45475,115.303,163.009,197.796
,0.50023,129.877,186.279,249.635
,0.5457,150.49,211.731,305.765
,0.59118,182.442,240.034,354.388
,0.63665,234.249,261.438,360.999
,0.68212,341.305,311.025,349.69
,0.7276,489.398,352.096,301.909
,0.77307,605.048,379.894,244.923
,0.81855,648.947,399.11,201.926
,0.86402,610.669,374.524,167.03
,0.9095,456.045,309.297,142.714
,0.95498,297.337,223.764,124.107
,1.00045,190.561,162.714,116.247
,1.04593,136.088,121.022,114.894
,1.0914,113.678,110.184,110.363
,1.13688,103.895,109.776,107.484
,1.18235,105.637,104.502,106.435
,1.22783,106.056,101.752,106.876
,1.2733,104.045,100.374,107.598
,1.31878,104.325,103.377,109.84
,1.36425,104.726,102.782,111.134
,1.40972,105.801,103.636,109.694
,1.4552,104.512,108.403,111.165
,1.50067,105.439,104.78,113.265
,1.54615,104.818,103.753,109.548
,1.59162,103.519,109.832,112.315
,1.6371,104.568,101.769,110.439
,1.68257,107.263,107,107.532
