CK109_1216_681_rapa_PDH_013 - Registered_001,Distance_(microns),Green,Red,Farred
,0,112.487,139,147.687
,0.04547,118.968,156.811,186.724
,0.09095,122.363,158.909,238.975
,0.13643,131.493,182.778,274.055
,0.1819,149.397,210.3,323.259
,0.22738,141.481,222.259,344.55
,0.27285,147.46,239.037,329.906
,0.31833,158.232,262.428,299.424
,0.3638,155.93,263.807,255.766
,0.40927,179.911,267.667,195.403
,0.45475,230.157,301.008,159.918
,0.50023,353.553,374.111,139.686
,0.5457,493.941,412.926,135.799
,0.59118,558.667,462.914,125.864
,0.63665,554.682,425.971,123.42
,0.68212,471.201,379.148,121.992
,0.7276,332.86,309.354,119.008
,0.77307,202.932,213.424,118.761
,0.81855,143.152,146.667,121.325
,0.86402,120.469,130.247,118.655
,0.9095,114.884,125.675,119.362
,0.95498,116.22,124.741,117.963
,1.00045,112.889,116.424,114.876
,1.04593,109.585,115.543,116.025
,1.0914,110.907,113.778,121.426
,1.13688,106.42,111.683,124.873
,1.18235,105.196,117.613,129.397
,1.22783,104.109,112,128.625
