CK113_1216_681_rapa_PDH_004.nd2 - Registered_004,Distance_(microns),Green,Red,Farred
,0,108.217,123.5,122.555
,0.04548,107.423,120.754,124.414
,0.09095,107.329,119.025,120.436
,0.13643,108.406,120.444,116.751
,0.1819,105.201,119.259,119.215
,0.22738,108.332,119.216,121.257
,0.27285,112.317,124.954,118.333
,0.31833,106.826,129.783,125.435
,0.3638,104.014,148.619,154.413
,0.40927,111.554,172.667,218.835
,0.45475,123.025,175.086,305.146
,0.50023,136.767,221.389,426.067
,0.5457,160.244,292.972,549.945
,0.59118,183.789,341.963,615.741
,0.63665,247.578,371.889,648.078
,0.68213,325.138,440.991,555.55
,0.7276,405.877,391.897,489.668
,0.77308,392.301,361.346,381.221
,0.81855,333.201,293.583,294.643
,0.86402,246.485,223.887,235.678
,0.9095,176.303,180.037,172.963
,0.95498,137.62,153.5,146.974
,1.00045,120.226,135.235,129.241
,1.04593,108.205,123.663,124.63
,1.0914,106.433,124.565,122.326
,1.13688,106.281,120.899,123.901
,1.18235,106.012,123.787,126.41
,1.22783,107.14,128.25,123.065
