CK113_1216_681_rapa_PDH_003.nd2 - Registered_006,Distance_(microns),Green,Red,Farred
,0,98.566,105,106.776
,0.04548,103.274,99.449,106.833
,0.09095,102.821,102.749,105.209
,0.13643,101.205,104.137,106.047
,0.1819,100.546,103.663,104.393
,0.22738,100.343,104.359,103.487
,0.27285,101.325,105.077,109.086
,0.31833,102.603,112.89,110.867
,0.3638,104.98,118.73,107.496
,0.40927,112.363,127.688,114.063
,0.45475,120.225,137.172,126.255
,0.50023,130.508,162.167,146.351
,0.5457,149.113,199.05,163.516
,0.59118,168.047,278.567,199.274
,0.63665,177.978,315.973,250.539
,0.68213,194.674,362.478,284.489
,0.7276,237.88,405.267,293.199
,0.77308,312.717,463.38,285.406
,0.81855,411.148,530.644,250.431
,0.86402,550.231,541.346,208.657
,0.9095,548.701,500.5,158.173
,0.95498,456.809,417.505,128.917
,1.00045,351.559,306.289,120.948
,1.04593,257.461,231.219,110.43
,1.0914,178.735,157.335,113.441
,1.13688,124.896,122.001,108.818
,1.18235,114.672,107.333,113.361
,1.22783,107.316,104.809,113.089
,1.2733,101.371,100.888,116.106
,1.31878,99.55,105.796,112.831
,1.36425,99.226,109.975,116.222
,1.40973,101.308,102.439,116.693
,1.4552,101.173,107.657,121.895
,1.50068,103.885,103.5,115.228
,1.54615,104.095,102.588,115.174
,1.59162,103.751,105.823,118.631
,1.6371,106.475,104.297,117.636
,1.68257,108.307,106,116.457
