CK112_1216_681_rapa_PDH_001.nd2 - Registered_001,Distance_(microns),Green,Red,Farred
,0,121.014,154,128.43
,0.04548,115.156,148.077,140.027
,0.09095,114.532,155.497,167.124
,0.13643,116.738,166.553,234.698
,0.1819,114.561,196.846,309.426
,0.22738,113.734,222.337,360.707
,0.27285,129.544,222.692,389.036
,0.31833,135.392,228.533,408.923
,0.3638,134.088,220.728,357.582
,0.40927,167.436,212.124,262.74
,0.45475,196.826,239.68,203.338
,0.50023,225.534,232.148,165.412
,0.5457,229.027,205.675,138.628
,0.59118,192.206,202.5,119.088
,0.63665,156.792,166.036,118.465
,0.68213,130.059,131.402,116.741
,0.7276,112.795,113.586,116.399
,0.77308,102.374,106.586,122.166
,0.81855,100.717,111.805,112.632
,0.86402,100.832,107.805,116.207
,0.9095,103.912,112.538,117.345
,0.95498,99.737,111.689,114.615
,1.00045,103.713,108.698,116.474
,1.04593,105.963,106.175,112.75
,1.0914,103.991,106.006,115.952
,1.13688,104.541,110.098,118.567
,1.18235,105.308,113,107.284
