CK109_1216_681_rapa_PDH_009 - Registered_005,Distance_(microns),Green,Red,Farred
,0,110.069,117,105.939
,0.04547,106.714,120.845,115.343
,0.09095,108.214,127.313,110.646
,0.13643,112.741,134.508,116.432
,0.1819,114.951,152.608,111.614
,0.22738,121.023,161.337,122.347
,0.27285,127.591,164.731,136.162
,0.31833,139.989,169.068,153.691
,0.3638,165.855,187.033,177.337
,0.40927,210.62,211.253,211.315
,0.45475,292.155,261.665,246.612
,0.50023,406.531,307.132,248.263
,0.5457,504.325,338.41,222.22
,0.59118,482.52,319.314,198.458
,0.63665,434.041,265.857,152.427
,0.68212,316.273,218.1,135.811
,0.7276,204.694,165.392,119.158
,0.77307,147.921,131.512,118.337
,0.81855,126.224,109.322,120.744
,0.86402,116.314,109.353,117.786
,0.9095,107.583,101.719,129.857
,0.95498,104.268,103.66,146.742
,1.00045,102.083,106.24,151.403
,1.04593,100.8,103.063,149.736
,1.0914,101.59,110.609,150.093
,1.13688,103.325,118.152,147.914
,1.18235,107.481,109.625,135.244
,1.22783,109.838,107.693,120.147
,1.2733,111.026,107.358,104.924
,1.31878,108.117,111,106.818
