CK109_1216_681_rapa_PDH_009 - Registered_004,Distance_(microns),Green,Red,Farred
,0,127.214,123,118.549
,0.04547,127.375,118.84,116.134
,0.09095,124.103,121.167,123.892
,0.13643,124.463,123.25,143.735
,0.1819,123.219,130.722,173.654
,0.22738,121.172,149.514,214.619
,0.27285,127.084,167,261.38
,0.31833,130.004,184.146,290.296
,0.3638,136.42,205.889,308.888
,0.40927,152.423,227,318.941
,0.45475,184.95,257.278,299.618
,0.50023,235.582,296.035,254.3
,0.5457,332.272,339.5,210.949
,0.59118,442.408,341.521,182.949
,0.63665,479.727,337.583,165.963
,0.68212,443.425,299.812,146.864
,0.7276,334.807,233.333,127.762
,0.77307,220.407,169.882,127.167
,0.81855,153.206,127.25,128.287
,0.86402,123.886,133.424,125.193
,0.9095,113.306,114,124.027
,0.95498,108.871,114.312,122.01
,1.00045,114.118,108.75,121.932
,1.04593,114.597,103.486,123.67
,1.0914,108.287,108,115.003
