CK109_1216_681_rapa_PDH_013 - Registered_005,Distance_(microns),Green,Red,Farred
,0,106.434,119,130.799
,0.04547,111.592,132.783,120.617
,0.09095,119.755,144,144.02
,0.13643,122.136,166.261,176.073
,0.1819,130.228,184.261,213.421
,0.22738,149.231,252.913,280.554
,0.27285,162.383,284.739,373.451
,0.31833,205.378,401.739,460.154
,0.3638,267.907,491.696,493.632
,0.40927,382.113,573.957,462.927
,0.45475,511.317,680.391,367.983
,0.50023,529.096,706.087,285.644
,0.5457,527.521,619.043,222.153
,0.59118,413.22,518.304,163.81
,0.63665,284.492,370.652,134.22
,0.68212,193.119,276.087,120.966
,0.7276,148.964,165.826,127.52
,0.77307,132.59,134.913,129.799
,0.81855,121.5,126.522,128.217
,0.86402,110.092,127.652,124.463
,0.9095,105.98,128.957,125.8
,0.95498,111.312,125.652,134.979
,1.00045,110.43,125.696,137.944
,1.04593,108.777,128,134.464
