CK112_1216_681_rapa_PDH_008.nd2 - Registered_001,Distance_(microns),Green,Red,Farred
,0,140.262,169,139.389
,0.04548,123.093,131.639,140.724
,0.09095,121.029,117.903,158.219
,0.13643,113.337,113.375,175.826
,0.1819,114.907,118.889,186.735
,0.22738,115.353,115.588,203.118
,0.27285,120.722,129.486,218.471
,0.31833,134.73,142.011,239.523
,0.3638,144.491,173.745,262.53
,0.40927,165.233,178.207,316.207
,0.45475,174.825,181.819,371.119
,0.50023,201.74,220.891,423.305
,0.5457,274.393,293.795,436.766
,0.59118,386.963,374.632,402.416
,0.63665,470.862,370.557,329.583
,0.68213,492.332,395.195,259.841
,0.7276,439.663,342.793,200.945
,0.77308,328.054,285.703,159.637
,0.81855,242.542,209.608,141.804
,0.86402,163.973,153.196,131.315
,0.9095,132.775,123.682,130.119
,0.95498,121.113,116.891,131.369
,1.00045,110.905,117.687,138.118
,1.04593,108.934,107.015,134.161
,1.0914,108.549,112.117,129.964
,1.13688,109.929,109.542,131.861
,1.18235,110.963,104.002,130.374
,1.22783,113.27,112.937,124.981
,1.2733,108.331,116.525,125.481
,1.31878,106.982,112.548,125.917
,1.36425,112.011,106.186,122.051
,1.40973,111.009,117,116.409
