"FileName","Nodes","Edges","Length"
"Data/Hela_pmito-mch-FRB_009_001.gnet",660,809,1095.17912
"Data/Hela_pmito-mch-FRB_009_001.gnet",37,43,65.68835
"Data/Hela_pmito-mch-FRB_009_001.gnet",6,7,14.53103
"Data/Hela_pmito-mch-FRB_009_001.gnet",10,10,14.2729
"Data/Hela_pmito-mch-FRB_009_001.gnet",4,3,13.14396
"Data/Hela_pmito-mch-FRB_009_001.gnet",4,3,8.61905
"Data/Hela_pmito-mch-FRB_009_001.gnet",2,1,8.12687
"Data/Hela_pmito-mch-FRB_009_001.gnet",4,3,8.01679
"Data/Hela_pmito-mch-FRB_009_001.gnet",4,3,7.86052
"Data/Hela_pmito-mch-FRB_009_001.gnet",4,3,7.04061
"Data/Hela_pmito-mch-FRB_009_001.gnet",4,3,6.71751
"Data/Hela_pmito-mch-FRB_009_001.gnet",2,1,5.11768
"Data/Hela_pmito-mch-FRB_009_001.gnet",4,3,4.22203
"Data/Hela_pmito-mch-FRB_009_001.gnet",2,1,4.131
"Data/Hela_pmito-mch-FRB_009_001.gnet",2,1,3.89399
"Data/Hela_pmito-mch-FRB_009_001.gnet",4,3,3.86152
"Data/Hela_pmito-mch-FRB_009_001.gnet",4,3,3.20289
"Data/Hela_pmito-mch-FRB_009_001.gnet",2,1,2.21681
"Data/Hela_pmito-mch-FRB_009_001.gnet",2,1,2.10103
"Data/Hela_pmito-mch-FRB_009_001.gnet",4,3,2.06276
"Data/Hela_pmito-mch-FRB_009_001.gnet",2,1,1.92849
"Data/Hela_pmito-mch-FRB_009_001.gnet",2,1,1.7052
"Data/Hela_pmito-mch-FRB_009_001.gnet",2,1,1.68829
"Data/Hela_pmito-mch-FRB_009_001.gnet",2,1,1.61343
"Data/Hela_pmito-mch-FRB_009_001.gnet",2,1,1.41721
"Data/Hela_pmito-mch-FRB_009_001.gnet",2,1,1.32258
"Data/Hela_pmito-mch-FRB_009_001.gnet",2,1,1.09748
"Data/Hela_pmito-mch-FRB_009_001.gnet",2,1,1.07342
"Data/Hela_pmito-mch-FRB_009_001.gnet",2,1,1.05641
"Data/Hela_pmito-mch-FRB_009_001.gnet",2,1,0.96422
"Data/Hela_pmito-mch-FRB_009_001.gnet",2,1,0.92487
"Data/Hela_pmito-mch-FRB_009_001.gnet",2,1,0.91786
"Data/Hela_pmito-mch-FRB_009_001.gnet",2,1,0.83177
"Data/Hela_pmito-mch-FRB_009_001.gnet",2,1,0.80748
"Data/Hela_pmito-mch-FRB_009_001.gnet",2,1,0.78785
"Data/Hela_pmito-mch-FRB_009_001.gnet",2,1,0.7395
"Data/Hela_pmito-mch-FRB_009_001.gnet",2,1,0.69467
"Data/Hela_pmito-mch-FRB_009_001.gnet",2,1,0.62336
"Data/Hela_pmito-mch-FRB_009_001.gnet",2,1,0.62139
"Data/Hela_pmito-mch-FRB_009_001.gnet",2,1,0.55307
"Data/Hela_pmito-mch-FRB_009_001.gnet",2,1,0.45877
"Data/Hela_pmito-mch-FRB_009_001.gnet",2,1,0.39792
"Data/Hela_pmito-mch-FRB_009_001.gnet",2,1,0.37481
"Data/Hela_pmito-mch-FRB_009_001.gnet",2,1,0.35836
"Data/Hela_pmito-mch-FRB_009_001.gnet",2,1,0.33
"Data/Hela_pmito-mch-FRB_009_001.gnet",2,1,0.33
"Data/Hela_pmito-mch-FRB_009_001.gnet",2,1,0.33
"Data/Hela_pmito-mch-FRB_009_001.gnet",2,1,0.33
"Data/Hela_pmito-mch-FRB_009_001.gnet",2,1,0.33
"Data/Hela_pmito-mch-FRB_009_001.gnet",2,1,0.33
"Data/Hela_pmito-mch-FRB_009_001.gnet",2,1,0.31113
"Data/Hela_pmito-mch-FRB_009_001.gnet",2,1,0.24947
